Accession	Virus Pangolin Classification	Geographic Location	Isolate Collection date	Host Name	Length	Completeness	Release date
OP679696.1	BA.2.75.1	USA: Virginia	2022-10-08	Homo sapiens	29724	COMPLETE	2022-10-19T00:00:00Z
OP709244.1	BA.5.1.1	USA: Texas	2022-10-11	Homo sapiens	29718	COMPLETE	2022-10-24T00:00:00Z
OP731663.1	BA.4.6	USA: Pennsylvania	2022-09-29	Homo sapiens	29833	COMPLETE	2022-10-27T00:00:00Z
OX344094.1	BA.5.2.1	Slovakia	2022-09-07	Homo sapiens	29844	COMPLETE	2022-10-04T00:00:00Z
PP455084.1	JN.1	USA: Minnesota	2024-02-20	Homo sapiens	29706	COMPLETE	2024-03-07T00:00:00Z
OK340897.1	B.1.1.7	USA	2021-04-29	Homo sapiens	29761	COMPLETE	2022-10-01T00:00:00Z
OP571275.1	BA.4.1	USA: Texas	2022-09-15	Homo sapiens	29709	COMPLETE	2022-10-03T00:00:00Z
OP591100.1	BA.4.6	USA: Arizona	2022-09-22	Homo sapiens	29833	COMPLETE	2022-10-05T00:00:00Z
OP621095.1	BF.27	USA: Tennessee, Shelby County	2022-09-16	Homo sapiens	29736	COMPLETE	2022-10-12T00:00:00Z
OP652302.1	BA.5.2.1	USA: AR	2022-08-15	Homo sapiens	29688	COMPLETE	2022-10-17T00:00:00Z
OP662362.1	BA.5.1.23	USA: New Jersey	2022-10-03	Homo sapiens	29654	COMPLETE	2022-10-18T00:00:00Z
OP707205.1	BA.5.2	USA: Ohio	2022-10-07	Homo sapiens	29720	COMPLETE	2022-10-24T00:00:00Z
OP726500.1	AY.103	USA	2021-10-02	Homo sapiens	29672	COMPLETE	2022-10-26T00:00:00Z
OP733703.1	BA.5.2.1	USA: Michigan	2022-10-11	Homo sapiens	29837	COMPLETE	2022-10-27T00:00:00Z
OP742708.1	BA.5.1.18	USA: New Jersey	2022-10-13	Homo sapiens	29718	COMPLETE	2022-10-31T00:00:00Z
OR615728.1	AY.103	USA	2021-08-20	Homo sapiens	29884	COMPLETE	2023-09-29T00:00:00Z
OY732409.1	XBB.1.16.11	United Kingdom:Scotland	2023-08-08	Homo sapiens	29847	COMPLETE	2023-09-08T00:00:00Z
OY738546.1	EG.5.1	United Kingdom:England	2023-09-09	Homo sapiens	29894	COMPLETE	2023-09-26T00:00:00Z
PQ725846.1	KP.3.1.1	USA: New York	2024-11-22	Homo sapiens	29672	COMPLETE	2024-12-10T00:00:00Z
PQ802939.1	BA.5.2	USA: New Jersey, Southern Ocean Medical Center	2022-10-03	Homo sapiens	29711	COMPLETE	2024-12-24T00:00:00Z
OQ556231.1	BA.1	USA: WI	2022-02-08	Homo sapiens	29717	COMPLETE	2023-03-02T00:00:00Z
OQ613428.1	BQ.1.1.4	USA: North Carolina	2023-02-13	Homo sapiens	29625	COMPLETE	2023-03-13T00:00:00Z
OX443825.1	B.1.1.7	Germany:Mecklenburg?West Pomerania	2021-04-21	Homo sapiens	29889	COMPLETE	2023-03-10T00:00:00Z
OX451132.1	BN.1.3	Slovakia	2023-01-02	Homo sapiens	29850	COMPLETE	2023-03-11T00:00:00Z
OQ899154.1	B.1	France	2020-03	Homo sapiens	29702	COMPLETE	2023-05-01T00:00:00Z
OR055661.1	BA.1.1	USA	2022-02-07	Homo sapiens	29684	COMPLETE	2023-05-29T00:00:00Z
OX494650.1	BA.2	United Kingdom:Northern_Ireland	2022-02-14	Homo sapiens	29850	COMPLETE	2023-05-01T00:00:00Z
OX499961.1	BQ.1.1.8	United Kingdom:Northern_Ireland	2022-12-27	Homo sapiens	29845	COMPLETE	2023-05-01T00:00:00Z
OX504356.1	AY.4	United Kingdom:Northern_Ireland	2021-12-08	Homo sapiens	29890	COMPLETE	2023-05-01T00:00:00Z
OX508289.1	BA.2	United Kingdom:Northern_Ireland	2022-03-16	Homo sapiens	29826	COMPLETE	2023-05-01T00:00:00Z
OX513471.1	AY.34	United Kingdom:Northern_Ireland	2021-08-28	Homo sapiens	29893	COMPLETE	2023-05-02T00:00:00Z
OX518205.1	AY.4	United Kingdom:Northern_Ireland	2021-07-03	Homo sapiens	29890	COMPLETE	2023-05-02T00:00:00Z
OX521353.1	AY.43	United Kingdom:Northern_Ireland	2021-10-31	Homo sapiens	29845	COMPLETE	2023-05-02T00:00:00Z
OX525486.1	AY.4	United Kingdom:Northern_Ireland	2021-10-19	Homo sapiens	29890	COMPLETE	2023-05-02T00:00:00Z
OX529999.1	AY.4	United Kingdom:Northern_Ireland	2021-10-12	Homo sapiens	29866	COMPLETE	2023-05-02T00:00:00Z
OX534244.1	AY.4	United Kingdom:Northern_Ireland	2021-10-16	Homo sapiens	29887	COMPLETE	2023-05-02T00:00:00Z
OX538780.1	B.1.177	United Kingdom:Wales	2021-01-09	Homo sapiens	29903	COMPLETE	2023-05-02T00:00:00Z
OX542966.1	B.1.1.37	United Kingdom:Wales	2020-10-06	Homo sapiens	29903	COMPLETE	2023-05-02T00:00:00Z
OX547546.1	B.1.177	United Kingdom:Wales	2020-09-24	Homo sapiens	29903	COMPLETE	2023-05-04T00:00:00Z
OX552160.1	B.1.258.7	United Kingdom:Wales	2020-11-05	Homo sapiens	29897	COMPLETE	2023-05-04T00:00:00Z
OX557431.1	B.1.177	United Kingdom:Wales	2020-12-08	Homo sapiens	29903	COMPLETE	2023-05-04T00:00:00Z
OX561935.1	B.1.177.7	United Kingdom:Wales	2020-11-27	Homo sapiens	29903	COMPLETE	2023-05-04T00:00:00Z
OX567602.1	B.1.1.7	United Kingdom:Wales	2021-01-28	Homo sapiens	29885	COMPLETE	2023-05-04T00:00:00Z
OX572010.1	AY.4	United Kingdom:Wales	2021-07-01	Homo sapiens	29887	COMPLETE	2023-05-04T00:00:00Z
OX574718.1	B.1.1.7	United Kingdom:England	2021-02-19	Homo sapiens	29884	COMPLETE	2023-05-05T00:00:00Z
OX581005.1	AY.120	United Kingdom:Wales	2021-07-09	Homo sapiens	29896	COMPLETE	2023-05-08T00:00:00Z
OX584560.1	B.1.177.63	United Kingdom:Wales	2020-12-08	Homo sapiens	29903	COMPLETE	2023-05-09T00:00:00Z
OX587717.1	B.1.1.7	United Kingdom:England	2021-01-23	Homo sapiens	29884	COMPLETE	2023-05-09T00:00:00Z
OX593184.1	B.1.1.7	United Kingdom:England	2021-02-01	Homo sapiens	29903	COMPLETE	2023-05-11T00:00:00Z
OX598596.1	B.1.177.7	United Kingdom:Wales	2020-12-04	Homo sapiens	29903	COMPLETE	2023-05-13T00:00:00Z
OX602424.1	unclassifiable	United Kingdom:England	2021-01-12	Homo sapiens	29893	COMPLETE	2023-05-13T00:00:00Z
OX607052.1	AY.4	United Kingdom:England	2021-06-21	Homo sapiens	29891	COMPLETE	2023-05-14T00:00:00Z
OX611221.1	BA.2.3.6	United Kingdom:England	2022-07-02	Homo sapiens	29850	COMPLETE	2023-05-15T00:00:00Z
OX615654.1	BE.1	United Kingdom:England	2022-06-15	Homo sapiens	29885	COMPLETE	2023-05-16T00:00:00Z
OX619955.1	AY.4	United Kingdom:England	2021-12-08	Homo sapiens	29891	COMPLETE	2023-05-17T00:00:00Z
OX625250.1	unclassifiable	United Kingdom:England	2022-01-04	Homo sapiens	29747	COMPLETE	2023-05-19T00:00:00Z
OX629675.1	BA.5.2.13	United Kingdom:England	2022-10-01	Homo sapiens	29844	COMPLETE	2023-05-20T00:00:00Z
OX634749.1	AY.4	United Kingdom:England	2021-11-03	Homo sapiens	29895	COMPLETE	2023-05-22T00:00:00Z
OZ173049.1	KP.3.2.4	United Kingdom:Northern_Ireland	2024-07-19	Homo sapiens	29848	COMPLETE	2024-08-10T00:00:00Z
PQ147544.1	LB.1.7	USA: Pennsylvania	2024-07-24	Homo sapiens	29688	COMPLETE	2024-08-07T00:00:00Z
PQ207881.1	LB.1.4	USA: North Carolina	2024-08-05	Homo sapiens	29687	COMPLETE	2024-08-20T00:00:00Z
OZ367299.1	PQ.17	United Kingdom:Scotland	2025-09-28	Homo sapiens	29848	COMPLETE	2025-11-11T00:00:00Z
OL700661.1	AY.103	USA: Massachusetts	2021-11-17	Homo sapiens	29770	COMPLETE	2021-12-03T00:00:00Z
OL713827.1	AY.107	USA: Massachusetts	2021-11-18	Homo sapiens	29844	COMPLETE	2021-12-03T00:00:00Z
OL720863.1	AY.3	USA: California	2021-11-23	Homo sapiens	29800	COMPLETE	2021-12-05T00:00:00Z
OL727625.1	AY.103	USA: Indiana	2021-11-16	Homo sapiens	29889	COMPLETE	2021-12-06T00:00:00Z
OL732224.1	AY.3	USA: Wisconsin	2021-11-09	Homo sapiens	29811	COMPLETE	2021-12-06T00:00:00Z
OL743562.1	AY.3	USA: GU	2021-10-01	Homo sapiens	29836	COMPLETE	2021-12-06T00:00:00Z
OL750422.1	AY.122	USA: California	2021-11-17	Homo sapiens	29816	COMPLETE	2021-12-07T00:00:00Z
OL760226.1	AY.103	USA: Minnesota	2021-11-15	Homo sapiens	29807	COMPLETE	2021-12-08T00:00:00Z
OL776694.1	AY.103	USA: Illinois	2021-11-11	Homo sapiens	29815	COMPLETE	2021-12-09T00:00:00Z
OL785642.1	AY.25.1	USA: Nevada	2021-11-30	Homo sapiens	29800	COMPLETE	2021-12-09T00:00:00Z
OL805269.1	AY.100	USA: Indiana	2021-11-26	Homo sapiens	29890	COMPLETE	2021-12-10T00:00:00Z
OL820310.1	AY.119	USA	2021-11-11	Homo sapiens	29769	COMPLETE	2021-12-11T00:00:00Z
OL831292.1	AY.103	USA: California	2021-12-07	Homo sapiens	29812	COMPLETE	2021-12-14T00:00:00Z
OL842307.1	AY.46.4	USA	2021-11-08	Homo sapiens	29764	COMPLETE	2021-12-14T00:00:00Z
OL858082.1	AY.44	USA: Minnesota	2021-11-27	Homo sapiens	29815	COMPLETE	2021-12-15T00:00:00Z
OL875523.1	AY.43	USA: California	2021-12-06	Homo sapiens	29800	COMPLETE	2021-12-16T00:00:00Z
OL884164.1	AY.44	USA: Washington	2021-12-04	Homo sapiens	29767	COMPLETE	2021-12-17T00:00:00Z
OL896385.1	AY.39	USA: Ohio	2021-11-22	Homo sapiens	29890	COMPLETE	2021-12-17T00:00:00Z
OL912371.1	AY.103	USA: California	2021-12-10	Homo sapiens	29812	COMPLETE	2021-12-19T00:00:00Z
OL918348.1	AY.122	USA: Massachusetts	2021-12-01	Homo sapiens	29795	COMPLETE	2021-12-20T00:00:00Z
OL923614.1	AY.44	USA: Ohio	2021-11-15	Homo sapiens	29816	COMPLETE	2021-12-20T00:00:00Z
OL929915.1	AY.25.1	USA: Pennsylvania	2021-11-17	Homo sapiens	29809	COMPLETE	2021-12-20T00:00:00Z
OL942555.1	AY.54	USA: Oklahoma, Ardmore	2021-10-03	Homo sapiens	29793	COMPLETE	2021-12-20T00:00:00Z
OL950014.1	AY.103	USA: Wisconsin	2021-11-07	Homo sapiens	29809	COMPLETE	2021-12-20T00:00:00Z
OL962825.1	AY.44	USA	2021-11-11	Homo sapiens	29769	COMPLETE	2021-12-21T00:00:00Z
OL975926.1	AY.34.1	USA	2021-11-17	Homo sapiens	29772	COMPLETE	2021-12-22T00:00:00Z
OL992100.1	AY.103	USA: Rhode Island	2021-12-05	Homo sapiens	29704	COMPLETE	2021-12-23T00:00:00Z
OM000599.2	AY.103	USA	2021-11-29	Homo sapiens	29827	COMPLETE	2021-12-23T00:00:00Z
OM011207.1	AY.103	USA: Colorado	2021-11-26	Homo sapiens	29787	COMPLETE	2021-12-25T00:00:00Z
OM020136.1	BA.1	USA: Colorado	2021-12-15	Homo sapiens	29779	COMPLETE	2021-12-27T00:00:00Z
OM036013.1	AY.44	USA: New York	2021-12-14	Homo sapiens	29804	COMPLETE	2021-12-28T00:00:00Z
OM042215.1	AY.119	USA: Delaware	2021-12-13	Homo sapiens	29764	COMPLETE	2021-12-28T00:00:00Z
OM051834.1	AY.103	USA: Delaware	2021-12-15	Homo sapiens	29816	COMPLETE	2021-12-29T00:00:00Z
OM070973.1	AY.3	USA: Massachusetts	2021-12-21	Homo sapiens	29844	COMPLETE	2021-12-31T00:00:00Z
OM080861.1	AY.44	USA: Wisconsin	2021-12-09	Homo sapiens	29809	COMPLETE	2021-12-31T00:00:00Z
OV194376.1	AY.4	United Kingdom:England	2020	Homo sapiens	29890	COMPLETE	2021-12-15T00:00:00Z
OV310316.1	AY.4.3	United Kingdom:England	2021-11-29	Homo sapiens	29890	COMPLETE	2021-12-30T00:00:00Z
OY999130.1	JN.1	United Kingdom:England	2024-01-04	Homo sapiens	29900	COMPLETE	2024-01-16T00:00:00Z
OZ006308.1	JN.1	United Kingdom:England	2024-01-01	Homo sapiens	29847	COMPLETE	2024-01-30T00:00:00Z
PP121453.1	B.1.427	USA	2021-01-21	Homo sapiens	29846	COMPLETE	2024-01-12T00:00:00Z
PP143294.1	AY.25	USA	2021-09-11	Homo sapiens	29833	COMPLETE	2024-01-17T00:00:00Z
PP161258.1	BA.1.1	USA	2022-01-08	Homo sapiens	29815	COMPLETE	2024-01-19T00:00:00Z
PP186910.1	P.1	USA	2021-04-11	Homo sapiens	29890	COMPLETE	2024-01-22T00:00:00Z
PP208428.1	BA.1.1	USA	2022-02-01	Homo sapiens	29814	COMPLETE	2024-01-25T00:00:00Z
PP222167.1	BA.1.1	USA	2022-01-03	Homo sapiens	29813	COMPLETE	2024-01-29T00:00:00Z
PP226840.1	BA.2.12.1	USA	2022-05-08	Homo sapiens	29793	COMPLETE	2024-01-29T00:00:00Z
OL335429.1	R.1	USA	2021-01-20	Homo sapiens	29777	COMPLETE	2021-11-02T00:00:00Z
OL522345.1	B.1.1.7	USA: Florida	2021-06-18	Homo sapiens	29884	COMPLETE	2021-11-18T00:00:00Z
OL623728.1	C.37	Peru	2021-08-04	Homo sapiens	29819	COMPLETE	2021-11-23T00:00:00Z
OV002755.1	AY.4	United Kingdom:England	2021-10-06	Homo sapiens	29890	COMPLETE	2021-11-21T00:00:00Z
OV028572.1	AY.4	United Kingdom:Wales	2021-10-23	Homo sapiens	29890	COMPLETE	2021-11-23T00:00:00Z
OV089950.1	AY.98	United Kingdom:England	2021-11-10	Homo sapiens	29890	COMPLETE	2021-11-26T00:00:00Z
MZ492534.1	Q.3	USA: Idaho	2021-06-08	Homo sapiens	29781	COMPLETE	2021-07-02T00:00:00Z
MZ518181.1	B.1.240	USA: AZ, Maricopa	2020-09-23	Homo sapiens	29892	COMPLETE	2021-07-08T00:00:00Z
MZ579131.1	B.1.526	USA: Pennsylvania, Philadelphia	2021-04-24	Homo sapiens	29893	COMPLETE	2021-07-20T00:00:00Z
MZ641556.1	B.1.526	USA	2021-01-25	Homo sapiens	29772	COMPLETE	2021-07-27T00:00:00Z
OU386264.1	AY.4	United Kingdom:England	2021-06-26	Homo sapiens	29890	COMPLETE	2021-07-13T00:00:00Z
OU392191.1	B.1.1.7	United Kingdom:England	2021-03-01	Homo sapiens	29884	COMPLETE	2021-07-13T00:00:00Z
OU418707.1	AY.9	United Kingdom:England	2021-06-15	Homo sapiens	29890	COMPLETE	2021-07-18T00:00:00Z
OU447496.1	AY.4	United Kingdom:England	2021-07-06	Homo sapiens	29884	COMPLETE	2021-07-26T00:00:00Z
OZ289474.1	B.1.1.7	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-03-07	Homo sapiens	29884	COMPLETE	2025-07-31T00:00:00Z
PZ959144.1	XFZ	USA: Ohio	2026-01-20	Homo sapiens	29690	COMPLETE	2026-09-09T00:00:00Z
OM088423.1	BA.1.15	USA: California	2021-12-22	Homo sapiens	29795	COMPLETE	2022-01-01T00:00:00Z
OM096011.1	AY.100	USA: Colorado	2021-12-05	Homo sapiens	29784	COMPLETE	2022-01-03T00:00:00Z
OM116025.1	AY.103	USA: Florida	2021-12-20	Homo sapiens	29810	COMPLETE	2022-01-04T00:00:00Z
OM121442.1	AY.103	USA: Wisconsin	2021-12-15	Homo sapiens	29664	COMPLETE	2022-01-04T00:00:00Z
OM128931.1	B.1.1.519	USA	2021-02-25	Homo sapiens	29869	COMPLETE	2022-01-04T00:00:00Z
OM139798.1	AY.3	USA: Georgia	2021-12-20	Homo sapiens	29890	COMPLETE	2022-01-05T00:00:00Z
OM159018.1	AY.25	USA: FL	2021-11-29	Homo sapiens	29836	COMPLETE	2022-01-06T00:00:00Z
OM174883.1	BA.1	USA: New York	2021-12-18	Homo sapiens	29750	COMPLETE	2022-01-07T00:00:00Z
OM182316.1	AY.103	USA: Virginia	2021-12-06	Homo sapiens	29764	COMPLETE	2022-01-07T00:00:00Z
OM194529.1	BA.1.15	USA: Florida	2021-12-23	Homo sapiens	29873	COMPLETE	2022-01-10T00:00:00Z
OM199233.1	BA.1.1.18	USA: Georgia	2021-12-23	Homo sapiens	29799	COMPLETE	2022-01-10T00:00:00Z
OM225778.1	BA.1.1.14	USA: Illinois	2021-12-28	Homo sapiens	29717	COMPLETE	2022-01-11T00:00:00Z
OM235831.1	BA.1.15	USA: South Carolina	2022-01-02	Homo sapiens	29841	COMPLETE	2022-01-12T00:00:00Z
OM261581.1	BA.1	USA: California	2021-12-27	Homo sapiens	29804	COMPLETE	2022-01-13T00:00:00Z
OM275095.1	AY.103	USA: Massachusetts	2021-12-17	Homo sapiens	29769	COMPLETE	2022-01-14T00:00:00Z
OM292590.1	BA.1.1.18	USA	2021-12-30	Homo sapiens	29746	COMPLETE	2022-01-18T00:00:00Z
OM308766.1	BA.1.15	USA: Oklahoma	2021-12-28	Homo sapiens	29790	COMPLETE	2022-01-19T00:00:00Z
OM328546.1	AY.103	USA: SD	2021-11-30	Homo sapiens	29841	COMPLETE	2022-01-21T00:00:00Z
OM339807.1	BA.1.1	USA: California, Los Angees County	2021-12-14	Homo sapiens	29747	COMPLETE	2022-01-21T00:00:00Z
OM354036.1	BA.1	USA: Florida	2022-01-03	Homo sapiens	29846	COMPLETE	2022-01-24T00:00:00Z
OM361792.1	BA.1.20	USA: New Hampshire	2022-01-07	Homo sapiens	29717	COMPLETE	2022-01-24T00:00:00Z
OM393839.1	BA.1.1	USA: California	2022-01-15	Homo sapiens	29828	COMPLETE	2022-01-26T00:00:00Z
OM407911.1	BA.1.15	USA: New Mexico	2022-01-05	Homo sapiens	29621	COMPLETE	2022-01-27T00:00:00Z
OM431078.1	BA.1.1	USA: Oklahoma	2022-01-12	Homo sapiens	29656	COMPLETE	2022-01-28T00:00:00Z
OM449306.1	BA.1.1	USA: California	2022-01-06	Homo sapiens	29793	COMPLETE	2022-01-31T00:00:00Z
OV314570.1	AY.4	United Kingdom:England	2021-11-29	Homo sapiens	29890	COMPLETE	2022-01-03T00:00:00Z
OY991302.1	JN.2	United Kingdom:Scotland	2023-12-13	Homo sapiens	29847	COMPLETE	2024-01-05T00:00:00Z
OZ000657.1	JN.1	United Kingdom:England	2024-01-04	Homo sapiens	29900	COMPLETE	2024-01-17T00:00:00Z
OZ007269.1	JN.1.1	United Kingdom:England	2024-01-23	Homo sapiens	29888	COMPLETE	2024-01-31T00:00:00Z
PP119441.1	AY.13	Mexico	2021-07-06	Homo sapiens	29585	COMPLETE	2024-01-12T00:00:00Z
PP141845.1	AY.44	USA	2021-07-06	Homo sapiens	29832	COMPLETE	2024-01-17T00:00:00Z
PP160658.1	BA.1.1	USA	2022-01-06	Homo sapiens	29784	COMPLETE	2024-01-19T00:00:00Z
PP185604.1	BA.1.1.18	USA	2022-01-24	Homo sapiens	29805	COMPLETE	2024-01-22T00:00:00Z
PP206406.1	BA.1.1	USA	2022-01-15	Homo sapiens	29784	COMPLETE	2024-01-25T00:00:00Z
PP221696.1	AY.122	USA	2021-12-18	Homo sapiens	29832	COMPLETE	2024-01-29T00:00:00Z
PP236611.1	JN.1.1	USA: Illinois, Chicago	2024-01-06	Homo sapiens	29775	COMPLETE	2024-01-30T00:00:00Z
OK433540.1	B.1.1.7	New Zealand	2021-04-06	Homo sapiens	29763	COMPLETE	2021-10-08T00:00:00Z
OK548306.1	B.1.429	USA: California,Riverside	2020-12-31	Homo sapiens	29598	COMPLETE	2021-10-18T00:00:00Z
OU794491.1	AY.4	United Kingdom:England	2021-07-13	Homo sapiens	29896	COMPLETE	2021-10-13T00:00:00Z
OU801405.1	B.1.1.7	United Kingdom:England	2021-02-08	Homo sapiens	29884	COMPLETE	2021-10-13T00:00:00Z
OU805696.1	B.1.177	United Kingdom:England	2020-12-22	Homo sapiens	29903	COMPLETE	2021-10-13T00:00:00Z
OU811118.1	unclassifiable	United Kingdom:England	2021-09-08	Homo sapiens	29896	COMPLETE	2021-10-13T00:00:00Z
OU815263.1	B.1.177.26	United Kingdom:England	2020-11-19	Homo sapiens	29850	COMPLETE	2021-10-13T00:00:00Z
OU860528.1	AY.4	United Kingdom:England	2020	Homo sapiens	29890	COMPLETE	2021-10-21T00:00:00Z
OQ761565.1	BA.1.1.18	USA: Nebraska	2022-01-20	Homo sapiens	29684	COMPLETE	2023-04-06T00:00:00Z
OQ778672.1	BA.5.1	USA: Michigan	2022-10-19	Homo sapiens	29718	COMPLETE	2023-04-07T00:00:00Z
OX464174.1	BA.2	Slovakia	2023-03-01	Homo sapiens	29850	COMPLETE	2023-04-20T00:00:00Z
OX468762.1	AY.4	United Kingdom:England	2021-09-03	Homo sapiens	29890	COMPLETE	2023-04-29T00:00:00Z
OX475133.1	B.1.1.7	United Kingdom:England	2021-02-16	Homo sapiens	29881	COMPLETE	2023-04-29T00:00:00Z
OX479621.1	B.1.1.7	United Kingdom:Northern_Ireland	2021-03-14	Homo sapiens	29884	COMPLETE	2023-04-29T00:00:00Z
OX483635.1	AY.4.2.2	United Kingdom:Northern_Ireland	2021-11-13	Homo sapiens	29890	COMPLETE	2023-04-29T00:00:00Z
OX488823.1	AY.4.1	United Kingdom:Northern_Ireland	2021-09-07	Homo sapiens	29890	COMPLETE	2023-04-30T00:00:00Z
PX487128.1	XFG.4	USA: California	2025-09-05	Homo sapiens	29790	COMPLETE	2025-10-31T00:00:00Z
MZ336945.1	B.1.526	USA: Maine	2021-05-17	Homo sapiens	29751	COMPLETE	2021-06-03T00:00:00Z
MZ360282.1	B.1.1.7	USA: Colorado	2021-05-14	Homo sapiens	29781	COMPLETE	2021-06-09T00:00:00Z
MZ378413.1	B.1.1.7	USA: CA, Humboldt County	2021-04-22	Homo sapiens	29843	COMPLETE	2021-06-12T00:00:00Z
MZ410148.1	B.1.1.7	USA: Arizona	2021-06-02	Homo sapiens	29763	COMPLETE	2021-06-17T00:00:00Z
MZ434895.1	B.1.1.7	USA: Minnesota	2021-05-17	Homo sapiens	29763	COMPLETE	2021-06-23T00:00:00Z
MZ462165.1	C.37	USA: Birmingham, AL	2021-03-20	Homo sapiens	29770	COMPLETE	2021-06-29T00:00:00Z
OZ221284.1	XEC	United Kingdom:Wales	2025-01-13	Homo sapiens	29847	COMPLETE	2025-01-25T00:00:00Z
PQ966087.1	BA.2	USA: New Jersey, Hackensack University Medical Center	2022-05-02	Homo sapiens	29750	COMPLETE	2025-01-22T00:00:00Z
PQ985236.1	AY.98.1	France	2021-10-05	Homo sapiens	29825	COMPLETE	2025-01-22T00:00:00Z
PV003918.1	BA.1.1	USA: New York	2022-01-02	Homo sapiens	29741	COMPLETE	2025-01-23T00:00:00Z
OR611671.1	BA.1.1	USA: Washington	2022-01-28	Homo sapiens	29713	COMPLETE	2023-09-29T00:00:00Z
OY732673.1	EG.5.1.6	United Kingdom:England	2023-08-24	Homo sapiens	29891	COMPLETE	2023-09-08T00:00:00Z
BS006339.1	BA.5.2.6	Japan:Shizuoka, center	2022-11-14	Homo sapiens	29729	COMPLETE	2022-12-21T00:00:00Z
OP926106.1	BF.5	USA: Colorado	2022-11-15	Homo sapiens	29720	COMPLETE	2022-12-01T00:00:00Z
OP948461.1	BQ.1.1	USA: Virginia	2022-10-31	Homo sapiens	29723	COMPLETE	2022-12-05T00:00:00Z
OP982868.1	BQ.1.1	USA: Pennsylvania	2022-11-18	Homo sapiens	29718	COMPLETE	2022-12-09T00:00:00Z
OP992533.1	BQ.1.1.41	USA: Missouri	2022-11-25	Homo sapiens	29687	COMPLETE	2022-12-12T00:00:00Z
OQ033480.1	BA.1.15	USA	2022-01-06	Homo sapiens	29797	COMPLETE	2022-12-14T00:00:00Z
OQ074285.1	BQ.1.1	USA: California	2022-12-05	Homo sapiens	29842	COMPLETE	2022-12-19T00:00:00Z
OQ085886.1	BQ.1.1	USA: Texas	2022-12-01	Homo sapiens	29718	COMPLETE	2022-12-20T00:00:00Z
OQ090317.1	BA.1.1	Mexico	2022-03-12	Homo sapiens	29808	COMPLETE	2022-12-20T00:00:00Z
OQ112738.1	XBB.2.6	USA	2022-11-15	Homo sapiens	29771	COMPLETE	2022-12-23T00:00:00Z
OQ131967.1	BQ.1.1	USA: Indiana	2022-12-12	Homo sapiens	29802	COMPLETE	2022-12-28T00:00:00Z
OQ141811.1	BQ.1	USA: Maryland	2022-12-09	Homo sapiens	29718	COMPLETE	2022-12-29T00:00:00Z
OR586451.1	AY.100	USA	2021-11	Homo sapiens	29778	COMPLETE	2023-09-22T00:00:00Z
OY732951.1	XBB.1.5.95	United Kingdom:Wales	2023-08-24	Homo sapiens	29847	COMPLETE	2023-09-09T00:00:00Z
OY739612.1	XBB.1.16.11	United Kingdom:England	2023-09-13	Homo sapiens	29894	COMPLETE	2023-09-26T00:00:00Z
OZ064810.1	P.1.15	Argentina:Ciudad Autonoma de Buenos Aires	2021-08-27	Homo sapiens	29793	COMPLETE	2024-05-31T00:00:00Z
OZ070123.1	BA.1	Argentina:Jujuy	2022-01-17	Homo sapiens	29762	COMPLETE	2024-05-31T00:00:00Z
PP772511.1	BF.7.14.6	China: Guangdong	2022-11-22	Homo sapiens	29657	COMPLETE	2024-05-09T00:00:00Z
OP112019.1	BF.10	USA: Illinois	2022-07-10	Homo sapiens	29718	COMPLETE	2022-08-01T00:00:00Z
OP123967.1	BF.21	USA	2022-07-08	Homo sapiens	29756	COMPLETE	2022-08-02T00:00:00Z
OP137477.1	BA.2.12.1	USA: Wisconsin	2022-07-14	Homo sapiens	29724	COMPLETE	2022-08-03T00:00:00Z
OP145962.1	BA.5.1	USA: California	2022-07-23	Homo sapiens	29657	COMPLETE	2022-08-04T00:00:00Z
OP156127.1	BA.5.5	USA: Illinois	2022-07-18	Homo sapiens	29716	COMPLETE	2022-08-04T00:00:00Z
OP175554.1	BE.3	USA	2022-06-26	Homo sapiens	29744	COMPLETE	2022-08-08T00:00:00Z
OP192349.1	BF.27	USA: Missouri	2022-07-25	Homo sapiens	29718	COMPLETE	2022-08-10T00:00:00Z
OP194964.1	BA.5.1.10	USA: Virginia	2022-07-22	Homo sapiens	29718	COMPLETE	2022-08-10T00:00:00Z
OP202949.1	BA.5.2.1	USA: Florida	2022-07-29	Homo sapiens	29842	COMPLETE	2022-08-11T00:00:00Z
OP228523.1	BA.5.1.23	USA: California	2022-07-31	Homo sapiens	29718	COMPLETE	2022-08-16T00:00:00Z
OP240377.1	BA.4.6	USA: North Carolina	2022-08-02	Homo sapiens	29583	COMPLETE	2022-08-17T00:00:00Z
OP258706.1	BA.4.1	USA: Georgia	2022-08-01	Homo sapiens	29709	COMPLETE	2022-08-19T00:00:00Z
OP264168.1	BA.2.12.1	USA: Pennsylvania	2022-04-03	Homo sapiens	29745	COMPLETE	2022-08-19T00:00:00Z
OP284962.1	BA.5.2.3	USA: Virginia	2022-08-10	Homo sapiens	29720	COMPLETE	2022-08-23T00:00:00Z
OP306017.1	BA.5.2.1	USA: Georgia	2022-08-07	Homo sapiens	29844	COMPLETE	2022-08-26T00:00:00Z
OP319770.1	BA.5.2.1	USA: Florida	2022-08-12	Homo sapiens	29833	COMPLETE	2022-08-29T00:00:00Z
OP333925.1	BA.4.1	USA: Illinois	2022-08-16	Homo sapiens	29711	COMPLETE	2022-08-30T00:00:00Z
